col1,col2,modifier_indicator
00100,01996,1
00100,31505,1
00100,31515,1
00100,31527,1
00100,31622,1
00100,31634,1
00100,31645,1
00100,31647,1
00100,31652,0
00100,31653,0
00100,36000,1
00100,36005,1
00100,36010,0
00100,36011,1
00100,36012,1
00100,36013,1
00100,36014,1
00100,36015,1
00100,36400,1
00100,36405,1
00100,36406,1
00100,36410,1
00100,36420,1
00100,36425,1
00100,36430,1
00100,36440,1
00100,36591,0
00100,36592,0
00100,36600,1
00100,36640,1
00100,43752,1
00100,43753,1
00100,43754,1
00100,61026,1
00100,61055,1
00100,62274,1
00100,62275,1
00100,62276,1
00100,62277,1
00100,62278,1
00100,62279,1
00100,62280,1
00100,62281,1
00100,62282,1
00100,62284,1
00100,62310,1
00100,62311,1
00100,62318,1
00100,62319,1
00100,62320,1
00100,62321,1
00100,62322,1
00100,62323,1
00100,62324,1
00100,62325,1
00100,62326,1
00100,62327,1
00100,64400,1
00100,64402,1
00100,64405,1
00100,64408,1
00100,64410,1
00100,64412,1
00100,64413,1
00100,64415,1
00100,64416,1
00100,64417,1
00100,64418,1
00100,64420,1
00100,64421,1
00100,64425,1
00100,64430,1
00100,64435,1
00100,64440,1
00100,64441,1
00100,64442,1
00100,64443,0
00100,64445,1
00100,64446,1
00100,64447,1
00100,64448,1
00100,64449,1
00100,64450,1
00100,64451,1
00100,64454,1
00100,64461,1
00100,64463,1
00100,64466,1
00100,64467,1
00100,64468,1
00100,64469,1
00100,64470,1
00100,64473,1
00100,64474,1
00100,64475,1
00100,64479,1
00100,64483,1
00100,64486,1
00100,64487,1
00100,64488,1
00100,64489,1
00100,64490,1
00100,64493,1
00100,64505,1
00100,64508,1
00100,64510,1
00100,64517,1
00100,64520,1
00100,64530,1
00100,64550,1
00100,64553,1
00100,64555,1
00100,64560,1
00100,64565,1
00100,67500,1
00100,69705,1
00100,69706,1
00100,76000,1
00100,76001,1
00100,76970,1
00100,76986,0
00100,76998,0
00100,77002,0
00100,80002,1
00100,80003,1
00100,80004,1
00100,80005,1
00100,80006,1
00100,80007,1
00100,80008,1
00100,80009,1
00100,80010,1
00100,80011,1
00100,80012,1
00100,80016,1
00100,80018,1
00100,80019,1
00100,80050,1
00100,80055,1
00100,80058,0
00100,80059,0
00100,80061,0
00100,80072,0
00100,80090,0
00100,80091,0
00100,80092,0
00100,80150,0
00100,80152,0
00100,80154,0
00100,80156,0
00100,80158,0
00100,80160,0
00100,80162,0
00100,80164,0
00100,80166,0
00100,80168,0
00100,80170,0
00100,80172,0
00100,80174,0
00100,80176,0
00100,80178,0
00100,80182,0
00100,80184,0
00100,80185,0
00100,80186,0
00100,80188,0
00100,80190,0
00100,80192,0
00100,80194,0
00100,80196,0
00100,80198,0
00100,80200,0
00100,80202,0
00100,81000,1
00100,81002,1
00100,81003,1
00100,81005,1
00100,81007,0
00100,81015,1
00100,81025,0
00100,81050,0
00100,82000,0
00100,82003,0
00100,82009,0
00100,82010,0
00100,82013,1
00100,82024,0
00100,82030,0
00100,82040,0
00100,82042,0
00100,82043,0
00100,82044,0
00100,82055,0
00100,82075,0
00100,82085,0
00100,82088,0
00100,82101,0
00100,82103,0
00100,82104,0
00100,82105,0
00100,82106,0
00100,82108,0
00100,82128,0
00100,82130,1
00100,82131,0
00100,82135,0
00100,82140,0
00100,82143,0
00100,82145,0
00100,82150,0
00100,82154,0
00100,82157,0
00100,82160,0
00100,82163,0
00100,82164,0
00100,82172,0
00100,82175,0
00100,82180,0
00100,82190,0
00100,82205,1
00100,82232,0
00100,82239,0
00100,82240,0
00100,82250,1
00100,82251,0
00100,82252,0
00100,82270,1
00100,82273,1
00100,90760,0
00100,90765,0
00100,90772,0
00100,90773,0
00100,90774,0
00100,90775,0
00100,90780,1
00100,90781,1
00100,90782,0
00100,90783,0
00100,90784,0
00100,90788,0
00100,90835,1
00100,90865,1
00100,91000,1
00100,91055,1
00100,91105,1
00100,92511,1
00100,92512,1
00100,92516,1
00100,92520,1
00100,92531,0
00100,92533,0
00100,92537,1
00100,92538,1
